ticket_id,created_at,resolved_at,priority,category,agent,team,status,location,satisfaction_score,sla_target_hours,resolution_time_hours,SLA_breached
INC-100901,2025-07-11 01:00:00,2025-07-15 02:39:05.029415748,Low,Email,Chris Miller,Applications,Closed,Berlin,4.5,72,97.65,True
INC-100773,2025-07-11 04:00:00,2025-07-14 08:03:52.542817441,Medium,Email,Jonas Weber,Infrastructure,Resolved,Hamburg,3.0,48,76.06,True
INC-100381,2025-07-11 06:00:00,2025-07-12 03:29:25.898699810,Medium,Security Incident,Kevin Zhang,Network,Closed,Remote,4.0,48,21.49,False
INC-100845,2025-07-11 07:00:00,2025-07-11 09:52:15.909046568,Critical,Hardware,Priya Sharma,Service Desk,Resolved,Berlin,3.5,8,2.87,False
INC-100846,2025-07-11 07:00:00,,Medium,Onboarding,Emre Kaya,Applications,Pending,Berlin,,48,,True
INC-100465,2025-07-11 13:00:00,2025-07-11 21:56:35.052466648,High,Network,Alice Brown,Service Desk,Closed,Cologne,3.5,24,8.94,False
INC-100575,2025-07-11 16:00:00,2025-07-12 18:29:14.397256412,Medium,Software,David Ross,Infrastructure,Resolved,Remote,4.3,48,26.49,False
INC-100104,2025-07-11 18:00:00,2025-07-13 06:00:44.895867207,High,Access Request,Olivia Reed,Network,Resolved,Frankfurt,3.7,24,36.01,True
INC-101190,2025-07-11 18:00:00,,Medium,Network,Priya Sharma,Service Desk,In Progress,Frankfurt,,48,,True
INC-100707,2025-07-11 21:00:00,,Medium,Vpn,Chris Miller,Applications,In Progress,Remote,,48,,True
INC-101175,2025-07-12 01:00:00,2025-07-15 08:14:36.504628274,High,Network,Emre Kaya,Applications,Closed,Hamburg,3.7,24,79.24,True
INC-100303,2025-07-12 09:00:00,2025-07-13 05:16:48.566393139,Medium,Security Incident,Marco Klein,Service Desk,Closed,Berlin,4.6,48,20.28,False
INC-101070,2025-07-12 13:00:00,2025-07-14 13:25:19.756222273,Low,Access Request,Tim Bauer,Network,Resolved,Remote,5.0,72,48.42,False
INC-100801,2025-07-12 21:00:00,2025-07-13 22:16:30.175544937,Low,Software,Nina Falk,Infrastructure,Resolved,Hamburg,5.0,72,25.28,False
INC-100790,2025-07-12 22:00:00,2025-07-13 17:58:42.785995131,Medium,Software,Priya Sharma,Service Desk,Resolved,Frankfurt,4.2,48,19.98,False
INC-101121,2025-07-13 08:00:00,2025-07-13 11:21:01.043246306,Critical,Vpn,Priya Sharma,Service Desk,Resolved,Remote,2.6,8,3.35,False
INC-100410,2025-07-13 08:00:00,,Low,Access Request,David Ross,Infrastructure,Pending,Cologne,,72,,True
INC-100839,2025-07-13 11:00:00,,High,Security Incident,Tim Bauer,Network,In Progress,Remote,,24,,True
INC-101038,2025-07-13 12:00:00,2025-07-14 14:34:28.906810578,High,Hardware,Tim Bauer,Network,Resolved,Munich,2.8,24,26.57,True
INC-100889,2025-07-13 18:00:00,,High,Hardware,Tim Bauer,Network,In Progress,Munich,,24,,True
INC-100478,2025-07-14 06:00:00,2025-07-14 17:27:02.902469222,High,Hardware,David Ross,Infrastructure,Resolved,Berlin,3.4,24,11.45,False
INC-100415,2025-07-14 07:00:00,2025-07-15 05:16:13.118772720,Medium,Onboarding,Jonas Weber,Infrastructure,Resolved,Frankfurt,4.9,48,22.27,False
INC-100233,2025-07-14 16:00:00,,Medium,Software,Nina Falk,Infrastructure,Open,Hamburg,,48,,True
INC-100540,2025-07-15 01:00:00,2025-07-15 21:29:39.207834984,Medium,Access Request,Emre Kaya,Applications,Closed,Remote,3.8,48,20.49,False
INC-100300,2025-07-15 04:00:00,,Low,Hardware,David Ross,Infrastructure,Open,Berlin,,72,,True
INC-101167,2025-07-15 06:00:00,2025-07-17 11:50:27.134385411,Low,Software,Kevin Zhang,Network,Resolved,Frankfurt,5.0,72,53.84,False
INC-100369,2025-07-15 07:00:00,2025-07-16 22:38:05.075295720,Low,Software,Emre Kaya,Applications,Resolved,Munich,4.1,72,39.63,False
INC-100170,2025-07-15 10:00:00,2025-07-17 23:36:08.417484895,Medium,Network,Sofia Lang,Applications,Resolved,Remote,3.9,48,61.6,True
INC-100272,2025-07-15 11:00:00,2025-07-17 06:51:17.195596440,Medium,Software,Priya Sharma,Service Desk,Resolved,Remote,4.5,48,43.85,False
INC-100821,2025-07-15 18:00:00,,High,Onboarding,Emre Kaya,Applications,In Progress,Hamburg,,24,,True
INC-101180,2025-07-15 22:00:00,,High,Onboarding,Nina Falk,Infrastructure,Open,Remote,,24,,True
INC-100454,2025-07-15 23:00:00,2025-07-17 22:22:20.652057080,Low,Network,Alice Brown,Service Desk,Resolved,Munich,4.5,72,47.37,False
INC-100429,2025-07-16 00:00:00,2025-07-16 13:03:30.333742172,High,Access Request,Noah Fischer,Security,Resolved,Frankfurt,3.4,24,13.06,False
INC-100830,2025-07-16 23:00:00,2025-07-17 12:44:58.129859568,Medium,Hardware,Jonas Weber,Infrastructure,Resolved,Hamburg,3.7,48,13.75,False
INC-100138,2025-07-17 09:00:00,2025-07-19 04:24:58.922012760,Low,Network,Alice Brown,Service Desk,Resolved,Frankfurt,4.1,72,43.42,False
INC-100385,2025-07-17 15:00:00,2025-07-20 18:58:20.971755403,Low,Network,Alice Brown,Service Desk,Closed,Munich,4.3,72,75.97,True
